Region,R0 (CI),"Rt(April 15th, 2020) (CI)",CAR (week 0) (CI),"CARt(April 15th, 2020) (CI)",IFR (week 0) (CI),"IFRt(April 15th, 2020) (CI)",delta weeks
Cameroon,"5.9
(1.9, 23.0)","4.1
(1.0, 20.0)","0.1
(0.02, 0.6)","0.2
(0.03, 0.7)","0.01
(0.002, 0.06)","0.04
(0.005, 0.2)","3
"
Canada,"1.8
(1.1, 4.7)","2
(1.0, 5.0)","0.05
(0.01, 0.6)","0.1
(0.0001, 0.6)","0.003
(0.0006, 0.03)","0.009
(1e-05, 0.05)","9
"
Chile,"4.3
(1.9, 9.9)","4.2
(2.0, 10.0)","0.05
(0.01, 0.3)","0.1
(0.02, 0.5)","0.001
(0.0003, 0.008)","0.006
(0.001, 0.03)","5
"
China,"9.5
(3.8, 20.0)","0.98
(0.4, 2.0)","0.08
(0.03, 0.2)","0.1
(0.02, 0.6)","0.0007
(0.0002, 0.002)","0.008
(0.001, 0.04)","11
"
Colombia,"6.9
(2.4, 28.0)","5.6
(2.0, 20.0)","0.1
(0.03, 0.5)","0.3
(0.07, 0.7)","0.004
(0.0008, 0.02)","0.02
(0.005, 0.06)","4
"
Congo (Brazzaville),"3.4
(1.3, 17.0)","2.8
(1.0, 10.0)","0.08
(0.01, 0.8)","0.09
(0.007, 0.9)","0.01
(0.002, 0.2)","0.03
(0.001, 0.4)","3
"
Congo (Kinshasa),"3.9
(1.5, 14.0)","2.7
(1.0, 10.0)","0.09
(0.02, 0.6)","0.1
(0.02, 0.7)","0.01
(0.002, 0.08)","0.04
(0.006, 0.2)","3
"
Costa Rica,"5
(1.8, 20.0)","3.1
(1.0, 10.0)","0.1
(0.02, 0.5)","0.2
(0.03, 0.7)","0.004
(0.0008, 0.02)","0.03
(0.004, 0.1)","4
"
Croatia,"3.1
(1.5, 7.3)","3
(1.0, 7.0)","0.05
(0.01, 0.3)","0.08
(0.006, 0.6)","0.002
(0.0004, 0.01)","0.007
(0.0005, 0.05)","6
"
Cuba,"3.8
(1.6, 13.0)","3.1
(1.0, 9.0)","0.07
(0.02, 0.5)","0.09
(0.02, 0.5)","0.003
(0.0007, 0.02)","0.008
(0.001, 0.05)","4
"
Cyprus,"6.3
(2.1, 24.0)","3.3
(1.0, 10.0)","0.2
(0.03, 0.6)","0.3
(0.06, 0.8)","0.008
(0.001, 0.03)","0.04
(0.008, 0.1)","4
"
Czechia,"4
(1.8, 9.7)","3.8
(2.0, 9.0)","0.06
(0.02, 0.3)","0.1
(0.03, 0.6)","0.002
(0.0004, 0.01)","0.01
(0.002, 0.05)","5
"
Denmark,"6.2
(2.3, 18.0)","4.7
(2.0, 10.0)","0.07
(0.02, 0.4)","0.2
(0.03, 0.6)","0.002
(0.0005, 0.01)","0.02
(0.003, 0.08)","5
"
Diamond Princess,"3.4
(1.3, 11.0)","0.41
(0.02, 0.9)","0.1
(0.02, 0.7)","0.2
(0.02, 0.9)","0.009
(0.001, 0.06)","0.06
(0.005, 0.4)","9
"
Djibouti,"4
(1.6, 16.0)","3.7
(1.0, 10.0)","0.08
(0.02, 0.5)","0.09
(0.01, 0.6)","0.007
(0.001, 0.05)","0.01
(0.001, 0.09)","2
"
Dominican Republic,"4.4
(1.8, 14.0)","4.3
(2.0, 10.0)","0.05
(0.01, 0.3)","0.08
(0.01, 0.5)","0.003
(0.0007, 0.02)","0.01
(0.002, 0.08)","4
"
Ecuador,"3.3
(1.4, 10.0)","3.3
(1.0, 10.0)","0.04
(0.009, 0.3)","0.05
(0.003, 0.4)","0.003
(0.0006, 0.03)","0.007
(0.0004, 0.07)","5
"
Egypt,"5.2
(1.9, 20.0)","2.3
(1.0, 7.0)","0.1
(0.03, 0.6)","0.2
(0.04, 0.7)","0.006
(0.001, 0.03)","0.02
(0.005, 0.08)","4
"
El Salvador,"5.1
(1.8, 18.0)","4.1
(2.0, 20.0)","0.1
(0.02, 0.6)","0.2
(0.03, 0.7)","0.007
(0.001, 0.04)","0.02
(0.003, 0.1)","2
"
Estonia,"4.6
(1.7, 17.0)","3.5
(1.0, 10.0)","0.08
(0.02, 0.4)","0.2
(0.03, 0.6)","0.003
(0.0007, 0.02)","0.02
(0.004, 0.09)","4
"
Ethiopia,"2.6
(1.3, 10.0)","2.2
(1.0, 8.0)","0.06
(0.01, 0.7)","0.06
(0.007, 0.7)","0.01
(0.002, 0.1)","0.02
(0.002, 0.2)","3
"
Finland,"5
(1.9, 21.0)","3
(1.0, 8.0)","0.08
(0.02, 0.5)","0.2
(0.03, 0.7)","0.005
(0.001, 0.04)","0.03
(0.004, 0.1)","5
"
France,"1.6
(1.1, 3.8)","1.3
(0.9, 2.0)","0.2
(0.02, 4.0)","0.4
(0.02, 0.8)","0.01
(0.002, 0.4)","0.06
(0.003, 0.1)","10
"
Gabon,"3.1
(1.3, 14.0)","2.8
(1.0, 10.0)","0.07
(0.01, 0.8)","0.07
(0.007, 0.8)","0.01
(0.002, 0.2)","0.02
(0.002, 0.3)","2
"
Georgia,"4.6
(1.7, 15.0)","1.8
(1.0, 4.0)","0.1
(0.02, 0.6)","0.2
(0.03, 0.7)","0.006
(0.001, 0.04)","0.02
(0.004, 0.1)","5
"
Germany,"1.5
(1.1, 4.3)","0.98
(0.6, 2.0)","0.4
(0.03, 8.0)","0.3
(0.1, 0.8)","0.01
(0.001, 0.3)","0.02
(0.007, 0.07)","10
"
Ghana,"4.9
(1.7, 19.0)","3.3
(1.0, 10.0)","0.1
(0.02, 0.6)","0.2
(0.02, 0.7)","0.01
(0.002, 0.08)","0.04
(0.004, 0.2)","3
"
Greece,"4.4
(1.9, 14.0)","2.8
(1.0, 6.0)","0.07
(0.02, 0.4)","0.2
(0.03, 0.7)","0.004
(0.0008, 0.02)","0.04
(0.006, 0.2)","6
"
Guatemala,"2.9
(1.3, 12.0)","2.5
(1.0, 9.0)","0.07
(0.02, 0.6)","0.08
(0.009, 0.6)","0.009
(0.002, 0.08)","0.02
(0.002, 0.2)","3
"
Guinea,"4.3
(1.6, 17.0)","3.8
(2.0, 10.0)","0.08
(0.02, 0.6)","0.1
(0.01, 0.6)","0.008
(0.001, 0.06)","0.01
(0.002, 0.1)","2
"
Guyana,"3.1
(1.2, 15.0)","2
(0.4, 10.0)","0.1
(0.02, 1.0)","0.2
(0.008, 1.0)","0.03
(0.0006, 0.4)","0.08
(-0.01, 0.8)","3
"
Haiti,"3.2
(1.2, 15.0)","2.4
(0.7, 10.0)","0.1
(0.02, 1.0)","0.2
(0.01, 1.0)","0.03
(0.003, 0.3)","0.07
(0.002, 0.7)","2
"
Honduras,"4
(1.5, 15.0)","2.9
(1.0, 10.0)","0.08
(0.02, 0.5)","0.1
(0.02, 0.7)","0.01
(0.002, 0.07)","0.04
(0.005, 0.2)","4
"
Hungary,"5.2
(1.9, 20.0)","3.3
(2.0, 9.0)","0.08
(0.02, 0.5)","0.2
(0.03, 0.6)","0.004
(0.0009, 0.02)","0.02
(0.003, 0.08)","5
"
Iceland,"4.1
(1.7, 14.0)","2.4
(1.0, 6.0)","0.1
(0.03, 0.5)","0.3
(0.06, 0.8)","0.003
(0.0006, 0.01)","0.01
(0.002, 0.04)","5
"
India,"10
(2.9, 54.0)","3.2
(2.0, 7.0)","0.2
(0.04, 0.6)","0.2
(0.06, 0.7)","0.004
(0.001, 0.02)","0.01
(0.003, 0.05)","5
"
Indonesia,"6.2
(2.3, 20.0)","5.7
(2.0, 20.0)","0.05
(0.01, 0.3)","0.1
(0.02, 0.6)","0.002
(0.0005, 0.01)","0.02
(0.003, 0.09)","5
"
Iran,"8
(2.9, 19.0)","1.3
(1.0, 2.0)","0.07
(0.02, 0.3)","0.3
(0.06, 0.8)","0.002
(0.0004, 0.009)","0.03
(0.006, 0.08)","7
"
Iraq,"2.8
(1.3, 10.0)","1.8
(1.0, 3.0)","0.09
(0.02, 0.6)","0.2
(0.03, 0.8)","0.004
(0.0009, 0.02)","0.02
(0.003, 0.08)","6
"
Ireland,"6
(2.0, 28.0)","3.3
(2.0, 9.0)","0.1
(0.02, 0.6)","0.2
(0.03, 0.6)","0.006
(0.001, 0.04)","0.02
(0.004, 0.1)","5
"
Israel,"3.8
(1.7, 9.1)","3.6
(2.0, 8.0)","0.05
(0.02, 0.3)","0.1
(0.02, 0.5)","0.001
(0.0003, 0.008)","0.006
(0.001, 0.03)","5
"
Italy,"2.1
(1.1, 4.9)","1.1
(0.8, 1.0)","0.2
(0.04, 3.0)","0.5
(0.3, 0.8)","0.01
(0.002, 0.2)","0.1
(0.06, 0.2)","10
"
Jamaica,"2.2
(1.2, 7.5)","2.1
(1.0, 6.0)","0.05
(0.01, 0.5)","0.04
(0.006, 0.4)","0.009
(0.002, 0.09)","0.01
(0.001, 0.1)","3
"
Japan,"3.2
(1.5, 7.6)","1.9
(1.0, 3.0)","0.06
(0.02, 0.4)","0.08
(0.01, 0.5)","0.002
(0.0006, 0.02)","0.009
(0.001, 0.05)","10
"
Jordan,"6.1
(2.1, 19.0)","4.7
(1.0, 20.0)","0.1
(0.03, 0.6)","0.3
(0.06, 0.8)","0.006
(0.001, 0.03)","0.03
(0.005, 0.09)","3
"
Kazakhstan,"5.4
(2.0, 20.0)","3
(1.0, 10.0)","0.1
(0.03, 0.6)","0.2
(0.04, 0.6)","0.004
(0.0009, 0.02)","0.01
(0.003, 0.05)","4
"
Kenya,"4.1
(1.6, 14.0)","3.2
(1.0, 10.0)","0.08
(0.02, 0.5)","0.1
(0.02, 0.6)","0.006
(0.001, 0.04)","0.02
(0.003, 0.1)","3
"
"Korea, South","2.5
(1.2, 5.2)","0.7
(0.09, 0.9)","0.07
(0.01, 1.0)","0.4
(0.003, 0.9)","0.002
(0.0004, 0.05)","0.03
(0.0002, 0.08)","9
"
Kosovo,"2.3
(1.2, 8.7)","2.1
(1.0, 8.0)","0.06
(0.01, 0.5)","0.06
(0.009, 0.5)","0.007
(0.001, 0.07)","0.01
(0.002, 0.1)","2
"
Kuwait,"2.8
(1.2, 15.0)","1.7
(1.0, 3.0)","0.08
(0.02, 1.0)","0.1
(0.01, 0.8)","0.004
(0.0009, 0.05)","0.01
(0.001, 0.09)","6
"
Kyrgyzstan,"5.1
(1.8, 20.0)","3.5
(1.0, 10.0)","0.1
(0.03, 0.6)","0.2
(0.03, 0.7)","0.008
(0.002, 0.05)","0.03
(0.004, 0.1)","3
"
Latvia,"4.8
(1.7, 18.0)","2.9
(1.0, 10.0)","0.1
(0.02, 0.6)","0.2
(0.03, 0.7)","0.008
(0.001, 0.05)","0.04
(0.006, 0.2)","4
"
Lebanon,"4.2
(1.7, 15.0)","2.9
(1.0, 8.0)","0.08
(0.02, 0.5)","0.2
(0.03, 0.7)","0.004
(0.0007, 0.02)","0.03
(0.005, 0.1)","5
"
Liberia,"4.5
(1.5, 19.0)","4.1
(1.0, 20.0)","0.1
(0.02, 0.8)","0.1
(0.01, 0.9)","0.02
(0.002, 0.2)","0.03
(0.002, 0.3)","1
"
Libya,"3.6
(1.3, 17.0)","3.3
(1.0, 20.0)","0.09
(0.01, 0.9)","0.1
(0.009, 0.9)","0.02
(0.002, 0.2)","0.02
(0.0005, 0.4)","1
"
Liechtenstein,"4.5
(1.2, 21.0)","2.6
(0.5, 20.0)","0.2
(0.02, 1.0)","0.3
(0.01, 1.0)","0.03
(-0.002, 0.3)","0.1
(-0.02, 0.8)","3
"
Lithuania,"5.4
(2.0, 20.0)","4.5
(2.0, 20.0)","0.08
(0.02, 0.5)","0.2
(0.04, 0.7)","0.004
(0.0008, 0.03)","0.03
(0.005, 0.1)","4
"
Luxembourg,"6.3
(2.3, 19.0)","5.7
(2.0, 20.0)","0.09
(0.02, 0.5)","0.3
(0.06, 0.8)","0.004
(0.0008, 0.02)","0.06
(0.01, 0.2)","4
"
Malaysia,"1.6
(1.1, 2.9)","1.1
(0.8, 2.0)","0.07
(0.02, 0.6)","0.3
(0.07, 0.6)","0.003
(0.0007, 0.03)","0.02
(0.004, 0.04)","10
"
Mali,"6.3
(2.1, 23.0)","4.8
(2.0, 20.0)","0.2
(0.04, 0.7)","0.3
(0.05, 0.8)","0.01
(0.003, 0.06)","0.04
(0.007, 0.2)","2
"
Malta,"4.6
(1.7, 17.0)","2.3
(1.0, 8.0)","0.1
(0.02, 0.6)","0.2
(0.03, 0.7)","0.009
(0.002, 0.06)","0.04
(0.005, 0.2)","4
"
Mauritius,"5.8
(1.8, 21.0)","4
(1.0, 20.0)","0.1
(0.03, 0.6)","0.3
(0.05, 0.8)","0.009
(0.002, 0.05)","0.05
(0.007, 0.2)","3
"
Mexico,"3
(1.4, 7.4)","3
(1.0, 7.0)","0.05
(0.01, 0.3)","0.04
(0.007, 0.3)","0.004
(0.0009, 0.03)","0.004
(0.0007, 0.03)","5
"
Moldova,"6.6
(2.2, 30.0)","3.7
(2.0, 10.0)","0.1
(0.03, 0.5)","0.2
(0.04, 0.6)","0.004
(0.0009, 0.02)","0.01
(0.003, 0.06)","4
"
Monaco,"4.3
(1.4, 16.0)","2.7
(0.9, 10.0)","0.1
(0.02, 0.8)","0.2
(0.02, 0.9)","0.02
(0.003, 0.1)","0.06
(0.006, 0.4)","3
"
Montenegro,"6.4
(2.1, 24.0)","4.1
(1.0, 20.0)","0.2
(0.03, 0.7)","0.3
(0.05, 0.8)","0.01
(0.002, 0.06)","0.05
(0.008, 0.2)","3
"
Morocco,"6.7
(2.4, 22.0)","6.4
(2.0, 20.0)","0.08
(0.02, 0.4)","0.2
(0.05, 0.6)","0.003
(0.0006, 0.01)","0.02
(0.005, 0.07)","4
"
Netherlands,"5.4
(2.1, 16.0)","4.5
(2.0, 10.0)","0.07
(0.02, 0.4)","0.2
(0.03, 0.6)","0.006
(0.001, 0.06)","0.05
(0.009, 0.2)","5
"
New Zealand,"3.1
(1.5, 8.0)","3.2
(1.0, 10.0)","0.04
(0.007, 0.3)","0.05
(0.002, 0.7)","0.002
(0.0003, 0.01)","0.003
(9e-05, 0.05)","5
"
Niger,"4.8
(1.7, 17.0)","4.2
(2.0, 20.0)","0.09
(0.02, 0.5)","0.1
(0.02, 0.7)","0.007
(0.001, 0.05)","0.02
(0.002, 0.1)","2
"
Nigeria,"5.1
(1.9, 16.0)","3.6
(1.0, 10.0)","0.1
(0.03, 0.5)","0.2
(0.04, 0.6)","0.005
(0.001, 0.02)","0.02
(0.004, 0.07)","3
"
North Macedonia,"4.7
(1.8, 19.0)","3.4
(1.0, 10.0)","0.08
(0.02, 0.5)","0.1
(0.02, 0.6)","0.004
(0.0009, 0.03)","0.02
(0.003, 0.09)","4
"
Norway,"5.3
(2.1, 18.0)","3.8
(2.0, 9.0)","0.07
(0.02, 0.4)","0.2
(0.04, 0.7)","0.005
(0.0009, 0.2)","0.05
(0.008, 0.5)","5
"
Oman,"2.5
(1.3, 7.2)","2.3
(1.0, 5.0)","0.05
(0.01, 0.4)","0.04
(0.007, 0.3)","0.004
(0.001, 0.04)","0.005
(0.0008, 0.05)","6
"
Pakistan,"3.6
(1.6, 9.6)","3.3
(2.0, 9.0)","0.05
(0.01, 0.3)","0.08
(0.005, 0.5)","0.002
(0.0004, 0.01)","0.007
(0.0004, 0.05)","6
"
Panama,"5.5
(1.9, 23.0)","3.4
(1.0, 10.0)","0.1
(0.03, 0.5)","0.2
(0.04, 0.6)","0.005
(0.001, 0.03)","0.02
(0.005, 0.09)","4
"
Paraguay,"3.3
(1.4, 12.0)","2.2
(1.0, 7.0)","0.08
(0.02, 0.6)","0.1
(0.02, 0.6)","0.008
(0.002, 0.06)","0.03
(0.003, 0.2)","4
"
Peru,"4.8
(1.8, 16.0)","3.5
(2.0, 9.0)","0.07
(0.02, 0.5)","0.1
(0.02, 0.5)","0.003
(0.0008, 0.02)","0.007
(0.001, 0.04)","4
"
Philippines,"5.6
(2.1, 20.0)","3.6
(2.0, 10.0)","0.2
(0.05, 0.6)","0.4
(0.1, 0.8)","0.006
(0.002, 0.02)","0.04
(0.01, 0.1)","4
"
Poland,"4.9
(1.8, 19.0)","3.5
(2.0, 10.0)","0.1
(0.03, 0.5)","0.2
(0.04, 0.6)","0.003
(0.0008, 0.02)","0.02
(0.003, 0.06)","4
"
Portugal,"5.2
(2.1, 13.0)","4.9
(2.0, 10.0)","0.06
(0.02, 0.3)","0.1
(0.03, 0.6)","0.002
(0.0005, 0.01)","0.02
(0.003, 0.08)","5
"
