roi,region,subregion
Réunion,Africa,Eastern Africa
Romania,Europe,Eastern Europe
Russia,Europe,Eastern Europe
Rwanda,Africa,Eastern Africa
Saudi Arabia,Asia,Western Asia
Sudan,Africa,Northern Africa
Senegal,Africa,Western Africa
Singapore,Asia,South-Eastern Asia
South Georgia,Antarctic,
Svalbard and Jan Mayen,Europe,Northern Europe
Solomon Islands,Oceania,Melanesia
Sierra Leone,Africa,Western Africa
El Salvador,Americas,Central America
San Marino,Europe,Southern Europe
Somalia,Africa,Eastern Africa
Saint Pierre and Miquelon,Americas,North America
Serbia,Europe,Southern Europe
South Sudan,Africa,Middle Africa
São Tomé and Príncipe,Africa,Middle Africa
Suriname,Americas,South America
Slovakia,Europe,Central Europe
Slovenia,Europe,Southern Europe
Sweden,Europe,Northern Europe
Eswatini,Africa,Southern Africa
Sint Maarten,Americas,Caribbean
Seychelles,Africa,Eastern Africa
Syria,Asia,Western Asia
Turks and Caicos Islands,Americas,Caribbean
Chad,Africa,Middle Africa
Togo,Africa,Western Africa
Thailand,Asia,South-Eastern Asia
Tajikistan,Asia,Central Asia
Tokelau,Oceania,Polynesia
Turkmenistan,Asia,Central Asia
Timor-Leste,Asia,South-Eastern Asia
Tonga,Oceania,Polynesia
Trinidad and Tobago,Americas,Caribbean
Tunisia,Africa,Northern Africa
Turkey,Asia,Western Asia
Tuvalu,Oceania,Polynesia
Taiwan,Asia,Eastern Asia
Tanzania,Africa,Eastern Africa
Uganda,Africa,Eastern Africa
Ukraine,Europe,Eastern Europe
United States Minor Outlying Islands,Americas,North America
Uruguay,Americas,South America
United States,Americas,North America
Uzbekistan,Asia,Central Asia
Vatican City,Europe,Southern Europe
Saint Vincent and the Grenadines,Americas,Caribbean
Venezuela,Americas,South America
British Virgin Islands,Americas,Caribbean
United States Virgin Islands,Americas,Caribbean
Vietnam,Asia,South-Eastern Asia
Vanuatu,Oceania,Melanesia
Wallis and Futuna,Oceania,Polynesia
Samoa,Oceania,Polynesia
Yemen,Asia,Western Asia
South Africa,Africa,Southern Africa
Zambia,Africa,Eastern Africa
Zimbabwe,Africa,Eastern Africa
US_AL,North America,United States
US_AK,North America,United States
US_AS,North America,United States
US_AZ,North America,United States
US_AR,North America,United States
US_CA,North America,United States
US_CO,North America,United States
US_CT,North America,United States
US_DE,North America,United States
US_DC,North America,United States
US_FM,North America,United States
US_FL,North America,United States
US_GA,North America,United States
US_GU,North America,United States
US_HI,North America,United States
US_ID,North America,United States
US_IL,North America,United States
US_IN,North America,United States
US_IA,North America,United States
US_KS,North America,United States
US_KY,North America,United States
US_LA,North America,United States
US_ME,North America,United States
US_MH,North America,United States
US_MD,North America,United States
US_MA,North America,United States
US_MI,North America,United States
US_MN,North America,United States
US_MS,North America,United States
US_MO,North America,United States
US_MT,North America,United States
US_NE,North America,United States
US_NV,North America,United States
US_NH,North America,United States
US_NJ,North America,United States
US_NM,North America,United States
US_NY,North America,United States
US_NC,North America,United States
US_ND,North America,United States
US_MP,North America,United States
US_OH,North America,United States
US_OK,North America,United States
US_OR,North America,United States
US_PW,North America,United States
US_PA,North America,United States
US_PR,North America,United States
US_RI,North America,United States
US_SC,North America,United States
US_SD,North America,United States
US_TN,North America,United States
US_TX,North America,United States
US_UT,North America,United States
US_VT,North America,United States
US_VI,North America,United States
US_VA,North America,United States
US_WA,North America,United States
US_WV,North America,United States
US_WI,North America,United States
US_WY,North America,United States
